"Wavelength";"mCherry 2P"
740;3,6957
741;3,6084
742;3,5259
743;3,4483
744;3,3756
745;3,3028
746;3,2388
747;3,1954
748;3,1606
749;3,1235
750;3,0808
751;3,0174
752;2,9458
753;2,8849
754;2,8382
755;2,8044
756;2,7736
757;2,7427
758;2,7019
759;2,6378
760;2,5744
761;2,5316
762;2,4913
763;2,4443
764;2,3939
765;2,3384
766;2,2784
767;2,2193
768;2,1628
769;2,1064
770;2,0493
771;1,9958
772;1,9424
773;1,8843
774;1,8267
775;1,7705
776;1,7134
777;1,6535
778;1,6019
779;1,5692
780;1,5445
781;1,5136
782;1,4813
783;1,4498
784;1,4248
785;1,4118
786;1,4077
787;1,4102
788;1,4038
789;1,3786
790;1,3393
791;1,2849
792;1,2224
793;1,1613
794;1,1015
795;1,0485
796;1,001
797;0,9571
798;0,9129
799;0,8664
800;0,8196
801;0,7713
802;0,7243
803;0,6816
804;0,64
805;0,597
806;0,5548
807;0,513
808;0,4712
809;0,4283
810;0,3879
811;0,3514
812;0,3195
813;0,2917
814;0,2679
815;0,2464
816;0,228
817;0,2115
818;0,197
819;0,1831
820;0,1702
821;0,1576
822;0,146
823;0,1346
824;0,1239
825;0,1138
826;0,1045
827;0,0959
828;0,0884
829;0,0819
830;0,0761
831;0,0706
832;0,0657
833;0,061
834;0,0568
835;0,0529
836;0,0493
837;0,0458
838;0,0427
839;0,0399
840;0,0374
841;0,0349
842;0,0327
843;0,0307
844;0,029
845;0,0277
846;0,0266
847;0,0255
848;0,0245
849;0,0234
850;0,0224
851;0,0216
852;0,0208
853;0,0201
854;0,0194
855;0,0187
856;0,0182
857;0,0178
858;0,0176
859;0,0174
860;0,0173
861;0,0173
862;0,0173
863;0,0174
864;0,0175
865;0,0177
866;0,0179
867;0,0181
868;0,0184
869;0,0186
870;0,0188
871;0,0189
872;0,0189
873;0,019
874;0,0191
875;0,0193
876;0,0194
877;0,0196
878;0,0197
879;0,0198
880;0,0199
881;0,0202
882;0,0205
883;0,0209
884;0,0212
885;0,0216
886;0,0219
887;0,0223
888;0,0227
889;0,0232
890;0,0238
891;0,0244
892;0,025
893;0,0256
894;0,0262
895;0,0268
896;0,0274
897;0,0281
898;0,0288
899;0,0298
900;0,0308
901;0,0316
902;0,0323
903;0,0331
904;0,0339
905;0,0348
906;0,0356
907;0,0367
908;0,0378
909;0,0388
910;0,0396
911;0,0405
912;0,0414
913;0,0425
914;0,0438
915;0,045
916;0,0462
917;0,0476
918;0,049
919;0,0501
920;0,0513
921;0,0525
922;0,0537
923;0,0546
924;0,0555
925;0,0568
926;0,0583
927;0,0596
928;0,0609
929;0,0625
930;0,064
931;0,0654
932;0,0668
933;0,0683
934;0,0697
935;0,0709
936;0,0719
937;0,0728
938;0,0738
939;0,0749
940;0,0763
941;0,0781
942;0,0799
943;0,0817
944;0,0832
945;0,0847
946;0,0861
947;0,0877
948;0,0894
949;0,0912
950;0,0928
951;0,0938
952;0,0946
953;0,0957
954;0,0972
955;0,099
956;0,101
957;0,1029
958;0,1048
959;0,1064
960;0,1082
961;0,1103
962;0,1127
963;0,1151
964;0,1176
965;0,1204
966;0,1233
967;0,126
968;0,1284
969;0,1305
970;0,1323
971;0,1341
972;0,136
973;0,1381
974;0,1404
975;0,1429
976;0,1455
977;0,1475
978;0,1495
979;0,1523
980;0,1555
981;0,1584
982;0,1617
983;0,166
984;0,1703
985;0,1737
986;0,1769
987;0,1801
988;0,1831
989;0,1857
990;0,1883
991;0,1907
992;0,1929
993;0,1953
994;0,1983
995;0,2022
996;0,2068
997;0,2116
998;0,2162
999;0,2203
1000;0,2244
1001;0,2289
1002;0,2338
1003;0,2387
1004;0,2436
1005;0,2481
1006;0,2527
1007;0,2575
1008;0,263
1009;0,2696
1010;0,2767
1011;0,2833
1012;0,2898
1013;0,2965
1014;0,3031
1015;0,3093
1016;0,3154
1017;0,3215
1018;0,3273
1019;0,333
1020;0,3392
1021;0,3461
1022;0,3531
1023;0,3596
1024;0,3659
1025;0,3722
1026;0,3787
1027;0,3853
1028;0,3923
1029;0,4008
1030;0,4101
1031;0,4205
1032;0,4301
1033;0,4361
1034;0,4391
1035;0,439
1036;0,4395
1037;0,4426
1038;0,4503
1039;0,466
1040;0,4852
1041;0,5026
1042;0,5193
1043;0,5348
1044;0,5493
1045;0,5627
1046;0,5763
1047;0,591
1048;0,6047
1049;0,6168
1050;0,6281
1051;0,6385
1052;0,6483
1053;0,6582
1054;0,6684
1055;0,679
1056;0,6913
1057;0,708
1058;0,7255
1059;0,7391
1060;0,7508
1061;0,7619
1062;0,7734
1063;0,7855
1064;0,8003
1065;0,821
